"variant","E","C","wealth"
2,0,0,0.46055541902187286
2,0,5,0.7428189643598916
2,0,10,0.7942565923709659
2,0,15,0.8016222063798057
2,0,20,0.8042794103319711
2,0,25,0.8016101772752063
2,0,30,0.7991896528667557
2,0,35,0.7943790308837716
2,0,40,0.784581768099628
2,0,45,0.7749624594032214
2,0,50,0.7656398969666063
2,0,55,0.7566156159712574
2,0,60,0.747885454476177
2,0,65,0.7389485824890789
2,0,70,0.7297155834704673
2,0,75,0.7208839851537695
2,0,80,0.7124221361374055
2,0,85,0.7043023114334417
2,0,90,0.6965000501650692
2,0,95,0.6889936290895503
2,0,100,0.6817636403609975
2,0,105,0.6747926499150938
2,0,110,0.6680062562496795
2,0,115,0.6614426849799527
2,0,120,0.6551003238873478
2,0,125,0.6489667653301295
2,0,130,0.6431645407633629
2,0,135,0.6376863311700265
2,0,140,0.6323656751167344
2,0,145,0.627195520657551
2,0,150,0.6221692636368497
2,0,155,0.6172807091305381
2,0,160,0.612524037214144
2,0,165,0.6078937724545621
2,0,170,0.6033847566215399
2,0,175,0.5989921241959697
2,0,180,0.5947112803180383
2,0,185,0.5905378808727305
2,0,190,0.5897916927976762
2,0,195,0.5896835849677127
2,0,200,0.5895799972036345
2,0,205,0.5894806524989706
2,0,210,0.5893852959685962
2,0,215,0.5892936926903556
2,0,220,0.5892056257937112
2,0,225,0.5891208947631531
2,0,230,0.5890393139288693
2,0,235,0.5889607111210479
2,0,240,0.588884926467568
2,0,245,0.5888118113176128
2,0,250,0.5887412272761221
2,0,255,0.5886730453360348
2,0,260,0.5886071450969782
2,0,265,0.5885434140605651
2,0,270,0.5884817469936614
2,0,275,0.5884220453521487
2,0,280,0.5883642167585723
2,0,285,0.5883081745279057
2,0,290,0.5882538372363455
2,0,295,0.5882011283286604
2,0,300,0.5881499757601326
2,0,305,0.5881003116696019
2,0,310,0.5880520720805023
2,0,315,0.58800519662714
2,0,320,0.5879596283037724
2,0,325,0.5879153132342931
2,0,330,0.5878722004605861
2,0,335,0.5878302417478067
2,0,340,0.5877893914050346
2,0,345,0.5877496061199032
2,0,350,0.5877108448059403
2,0,355,0.5876730684615264
2,0,360,0.5876362400394056
2,0,365,0.5876003243258968
2,0,370,0.5875652878289271
2,0,375,0.5875310986741619
2,0,380,0.5874977265085798
2,0,385,0.587465142410831
2,0,390,0.5874333188078829
2,0,395,0.5874022293973863
2,0,400,0.5873718490753788
2,0,405,0.5873421538688274
2,0,410,0.5873131208727073
2,0,415,0.587284728191198
2,0,420,0.5872569548827619
2,0,425,0.5872297809087237
2,0,430,0.5872031870851749
2,0,435,0.5871771550378964
2,0,440,0.5871516671601055
2,0,445,0.5871267065728326
2,0,450,0.587102257087709
2,0,455,0.5870783031720247
2,0,460,0.5870548299158838
2,0,465,0.5870318230013104
2,0,470,0.5870092686731775
2,0,475,0.5869871537118291
2,0,480,0.5869654654072912
2,0,485,0.5869441915349448
2,0,490,0.5869233203325943
2,0,495,0.586902840478809
2,0,500,0.5868827410724853
2,0,505,0.5868630116135203
2,0,510,0.5868436419845429
2,0,515,0.5868246224336553
2,0,520,0.5868059435580701
2,0,525,0.5867875962886364
2,0,530,0.5867695718751766
2,0,535,0.5867518618725918
2,0,540,0.5867344581276834
2,0,545,0.5867173527666525
2,0,550,0.5867005381832386
2,0,555,0.5866840070274587
2,0,560,0.5866677521948964
2,0,565,0.5866517668165491
2,0,570,0.5866360442491505
2,0,575,0.5866205780659762
2,0,580,0.5866053620480967
2,0,585,0.5865903901760517
2,0,590,0.5865756566219115
2,0,595,0.5865611557417251
2,0,600,0.5865468820683205
2,0,605,0.5865328303044385
2,0,610,0.5865189953161791
2,0,615,0.5865053721267647
2,0,620,0.5864919559105649
